Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Sentiment_Simplified
Overflowing happiness: welcoming a new family member!,Happiness,Morning,NewParentJoy,Instagram,#Happiness #NewFamilyMember,30.0,60.0, UK           ,2023,2,22,10,Positive
Laughter is the key to joy—attending a stand-up comedy show.,Joy,Night,StandUpFan,Facebook,#Joy #StandUpComedy,22.0,45.0, Canada    ,2023,2,22,19,Positive
Sending love to all my followers on this beautiful day! ❤️,Love,Morning,LoveSender,Twitter,#Love #SpreadLove,15.0,30.0, Australia  ,2023,2,23,8,Positive
Amused by the antics of my pet—it's pure amusement!,Amusement,Afternoon,PetAmuser,Instagram,#Amusement #PetAntics,18.0,35.0, UK           ,2023,2,23,14,Positive
Enjoying every moment of this trip—pure enjoyment!,Enjoyment,Night,TravelExplorer,Facebook,#Enjoyment #Travel,25.0,50.0, USA ,2023,2,23,19,Positive
Admiring the dedication of volunteers at a local charity.,Admiration,Afternoon,CharityAdmirer,Twitter,#Admiration #Volunteers,20.0,40.0, USA        ,2023,2,24,11,Positive
Sending affectionate vibes to friends and family.,Affection,Evening,FamilyLover,Instagram,#Affection #FamilyLove,15.0,30.0,USA,2023,2,24,16,Positive
Awe-struck by the beauty of the night sky.,Awe,Night,Stargazer,Facebook,#Awe #StarryNight,22.0,45.0, Australia ,2023,2,24,20,Positive
Disappointed with the lack of progress in a personal project.,Disappointed,Morning,ProjectStruggle,Twitter,#Disappointed #Project,18.0,35.0, India      ,2023,2,25,9,Negative
A surprise visit from an old friend brought tears of joy.,Surprise,Afternoon,JoyfulReunion,Instagram,#Surprise #OldFriends,25.0,50.0, USA          ,2023,2,25,14,Neutral
Embracing acceptance of life's ups and downs.,Acceptance,Evening,LifeAcceptance,Facebook,#Acceptance #LifeJourney,15.0,30.0, Canada     ,2023,2,25,18,Positive
Overflowing adoration for a cute rescue puppy! 🐶,Adoration,Morning,PuppyAdmirer,Twitter,#Adoration #PuppyLove,22.0,45.0, UK         ,2023,2,26,10,Positive
Anticipating the release of a much-awaited movie.,Anticipation,Morning,MovieBuff2,Instagram,#Anticipation #MovieRelease,20.0,40.0, Australia    ,2023,2,26,7,Neutral
Bitter experience at the customer service department.,Bitter,Evening,CustomerWoes,Facebook,#BitterExperience #CustomerService,18.0,35.0, USA       ,2023,2,26,15,Neutral
Finding calmness amidst the chaos of daily life.,Calmness,Morning,CalmSoul,Twitter,#Calmness #InnerPeace,15.0,30.0, India     ,2023,2,27,9,Neutral
Confusion reigns as I try to make sense of recent events.,Confusion,Afternoon,ConfusedMind2,Instagram,#Confusion #MakingSense,25.0,50.0, UK   ,2023,2,27,14,Neutral
Excitement building up for a surprise birthday party.,Excitement,Evening,BirthdayExcite,Facebook,#Excitement #SurpriseParty,22.0,45.0, Canada ,2023,2,27,18,Neutral
Witnessed an act of kindness that made my day.,Kind,Afternoon,KindnessObserver,Twitter,#Kindness #ActsOfKindness,20.0,40.0, USA       ,2023,2,28,11,Neutral
Pride in completing a challenging fitness challenge.,Pride,Evening,FitAchiever,Instagram,#Pride #FitnessChallengeCompleted,30.0,60.0, UK            ,2023,2,28,16,Neutral
A moment of shame for not speaking up against injustice.,Shame,Night,ReflectiveSelf2,Facebook,#Shame #Injustice,15.0,30.0, India     ,2023,2,28,19,Negative
Reflecting on the beauty of diversity in our world.,Acceptance,Morning,DiversityLover,Twitter,#Acceptance #Diversity,22.0,45.0, Australia ,2023,3,1,10,Positive
Excitement for a quiet evening with a good book.,Excitement,Afternoon,BookwormJoy,Instagram,#Excitement #BookTime,18.0,35.0, USA          ,2023,3,1,13,Neutral
Feeling bitter about the unfairness in the workplace.,Bitter,Evening,WorkplaceWoes,Twitter,#Bitter #Unfairness,15.0,30.0, Canada    ,2023,3,1,17,Neutral
Calmness prevails as I practice mindfulness.,Calmness,Evening,MindfulMe,Facebook,#Calmness #Mindfulness,15.0,30.0, UK        ,2023,3,2,18,Neutral
Confusion surrounds me as I navigate through life's choices.,Confusion,Afternoon,ConfusedMind3,Instagram,#Confusion #LifeChoices,30.0,60.0, USA   ,2023,3,2,13,Neutral
Excitement for a weekend road trip to explore new places.,Excitement,Evening,RoadTripper2,Twitter,#Excitement #WeekendAdventure,25.0,50.0, India     ,2023,3,2,16,Neutral
Kindness witnessed today restores my faith in humanity.,Kind,Afternoon,KindnessPrevails2,Facebook,#Kindness #HumanityRestored,22.0,45.0, USA       ,2023,3,3,11,Neutral
Pride in accomplishing personal and professional goals.,Pride,Afternoon,GoalAchiever,Instagram,#Pride #Accomplishments,12.0,25.0, Canada ,2023,3,3,14,Neutral
Shame for not being true to my values in a difficult situation.,Shame,Afternoon,ReflectiveSelf3,Twitter,#Shame #Integrity,15.0,30.0, UK        ,2023,3,3,12,Negative
"Revisiting old memories, feeling a sense of elation.",Elation,Evening,NostalgiaFan,Twitter,#Elation #Memories,20.0,40.0, Canada    ,2010,5,15,15,Positive
The victory of our team brought euphoria to the city.,Euphoria,Night,SportsFanatic,Instagram,#Euphoria #Victory,15.0,30.0, USA      ,2021,8,10,21,Positive
"Embracing the beauty of nature, a moment of contentment.",Contentment,Afternoon,NatureLover2,Facebook,#Contentment #Nature,25.0,50.0, India       ,2011,6,20,14,Positive
"Meditating by the serene lake, finding inner peace.",Serenity,Evening,ZenMaster2,Twitter,#Serenity #Meditation,18.0,35.0, UK          ,2022,2,12,18,Positive
Overflowing with gratitude for life's blessings.,Gratitude,Morning,ThankfulHeart,Instagram,#Gratitude #Blessed,30.0,60.0, Australia   ,2012,11,25,10,Positive
"Hopeful for a brighter tomorrow, despite challenges.",Hope,Night,OptimisticSoul,Facebook,#Hope #Optimism,22.0,45.0, USA      ,2013,4,5,19,Positive
Empowered to make a difference in my community.,Empowerment,Morning,CommunityLeader,Twitter,#Empowerment #Community,15.0,30.0, UK       ,2014,9,14,8,Positive
Compassion in action: supporting a local charity event.,Compassion,Afternoon,CharitySupporter,Instagram,#Compassion #CharityEvent,18.0,35.0, Canada ,2015,7,18,14,Neutral
"A moment of tenderness, connecting with loved ones.",Tenderness,Night,LovingHeart,Facebook,#Tenderness #FamilyTime,25.0,50.0, UK          ,2016,2,23,19,Neutral
Arousal of excitement as I await a special announcement.,Arousal,Afternoon,ExcitementFan,Twitter,#Arousal #Excitement,20.0,40.0, Australia ,2017,10,30,11,Neutral
Enthusiastically diving into a new project.,Enthusiasm,Evening,ProjectEnthusiast,Instagram,#Enthusiasm #NewProject,15.0,30.0, USA  ,2018,6,15,16,Positive
Feeling a sense of fulfillment after reaching a milestone.,Fulfillment,Evening,MilestoneAchiever,Facebook,#Fulfillment #Milestone,22.0,45.0, India     ,2019,3,28,18,Positive
Reverence for the beauty of a historic landmark.,Reverence,Evening,HistoryLover,Twitter,#Reverence #History,18.0,35.0, UK      ,2019,11,11,15,Neutral
Elation after a surprise reunion with old friends.,Elation,Morning,JoyfulReunion2,Instagram,#Elation #OldFriends,25.0,50.0, Canada      ,2020,4,2,9,Positive
The euphoria of a live music concert under the stars.,Euphoria,Afternoon,MusicEnthusiast,Facebook,#Euphoria #LiveMusic,15.0,30.0, USA ,2021,6,19,14,Positive
Contentment in the simplicity of a quiet Sunday.,Contentment,Morning,SimpleJoys,Twitter,#Contentment #SundayMood,30.0,60.0, Australia ,2010,8,15,10,Positive
Serenity found in the pages of a favorite book.,Serenity,Night,BookLover3,Instagram,#Serenity #BookTime,22.0,45.0, UK          ,2011,9,22,19,Positive
Gratitude for the support received during tough times.,Gratitude,Morning,SupportiveFriend,Facebook,#Gratitude #Supportive,15.0,30.0, India     ,2012,3,10,8,Positive
Hopeful about the possibilities of a new journey.,Hope,Evening,JourneyOptimist,Twitter,#Hope #NewBeginnings,18.0,35.0, Canada    ,2013,12,5,16,Positive
Empowerment through learning and personal growth.,Empowerment,Afternoon,GrowthSeeker,Instagram,#Empowerment #PersonalGrowth,25.0,50.0,USA,2014,7,20,11,Positive
Compassion towards those in need during the holidays.,Compassion,Afternoon,HolidayHelper,Facebook,#Compassion #HolidaySupport,18.0,35.0, USA      ,2015,12,22,14,Neutral
Tenderness in the warmth of a cozy winter evening.,Tenderness,Night,WinterWarmth,Twitter,#Tenderness #CozyEvening,25.0,50.0, UK       ,2016,2,10,19,Neutral
Arousal of excitement for an upcoming adventure.,Arousal,Afternoon,AdventureAwaits,Instagram,#Arousal #AdventureTime,20.0,40.0, Australia ,2017,4,30,11,Neutral
Enthusiasm for a creative project in the making.,Enthusiasm,Evening,CreativeSpirit,Facebook,#Enthusiasm #Creativity,15.0,30.0, Canada    ,2018,9,15,16,Positive
Fulfillment in completing a challenging workout routine.,Fulfillment,Evening,FitnessAchiever,Twitter,#Fulfillment #FitnessGoals,22.0,45.0, India     ,2019,6,28,18,Positive
Reverence for the artistry displayed in a museum.,Reverence,Evening,ArtAppreciator,Instagram,#Reverence #ArtAppreciation,18.0,35.0, UK        ,2020,11,11,15,Neutral
Elation after achieving a personal goal.,Elation,Morning,GoalAchiever2,Facebook,#Elation #PersonalAchievement,25.0,50.0, USA      ,2021,3,2,9,Positive
Elation over discovering a hidden gem in the city.,Elation,Afternoon,UrbanExplorer2,Twitter,#Elation #HiddenGem,20.0,40.0, USA      ,2012,2,18,14,Positive
The euphoria of a surprise birthday celebration.,Euphoria,Night,BirthdayJoy,Instagram,#Euphoria #BirthdaySurprise,15.0,30.0, UK   ,2018,11,5,21,Positive
Contentment in the simplicity of a home-cooked meal.,Contentment,Afternoon,HomeChef,Facebook,#Contentment #HomeCooking,25.0,50.0, India    ,2015,9,12,13,Positive
Serenity found in the melody of a peaceful piano.,Serenity,Evening,MusicLover4,Twitter,#Serenity #PeacefulMelody,18.0,35.0, Canada      ,2016,7,30,18,Positive
Gratitude for the supportive community around me.,Gratitude,Morning,CommunityLove,Instagram,#Gratitude #CommunitySupport,30.0,60.0, USA ,2013,4,20,10,Positive
Hopeful about the prospects of a new business venture.,Hope,Night,EntrepreneurHope,Facebook,#Hope #BusinessVenture,22.0,45.0, Canada    ,2017,12,8,19,Positive
Empowerment through mentoring and guiding others.,Empowerment,Morning,MentorEmpower,Twitter,#Empowerment #Mentorship,15.0,30.0, UK       ,2014,6,3,8,Positive
Compassion shown through acts of kindness in the community.,Compassion,Afternoon,KindnessInAction,Instagram,#Compassion #CommunityKindness,18.0,35.0, Australia ,2019,1,15,14,Neutral
Tenderness in a heartfelt message to a loved one.,Tenderness,Night,LoveExpress,Facebook,#Tenderness #LoveNote,25.0,50.0, UK          ,2016,12,25,19,Neutral
Arousal of excitement before a much-awaited trip.,Arousal,Morning,TravelExcitement,Twitter,#Arousal #TravelAdventure,20.0,40.0, India    ,2018,3,10,9,Neutral
Enthusiasm for a new artistic project in the works.,Enthusiasm,Evening,ArtisticSpirit,Instagram,#Enthusiasm #ArtisticProject,15.0,30.0, USA       ,2020,9,17,16,Positive
Feeling a sense of fulfillment after helping others.,Fulfillment,Evening,HelperHeart,Facebook,#Fulfillment #HelpingOthers,22.0,45.0, Canada    ,2011,8,28,18,Positive
Reverence for the historical significance of a landmark.,Reverence,Evening,HistoryBuff,Twitter,#Reverence #HistoricalSite,18.0,35.0, Australia ,2017,11,1,15,Neutral
Elation after achieving a fitness milestone.,Elation,Morning,FitnessAchiever2,Instagram,#Elation #FitnessMilestone,25.0,50.0, UK           ,2019,6,15,10,Positive
The euphoria of a successful product launch.,Euphoria,Afternoon,ProductLaunchJoy,Facebook,#Euphoria #ProductLaunchSuccess,15.0,30.0, USA       ,2022,4,3,11,Positive
Contentment in the embrace of a loved one.,Contentment,Night,LovingEmbrace,Twitter,#Contentment #Love,30.0,60.0, India    ,2010,11,12,20,Positive
Serenity found in the beauty of a sunset by the sea.,Serenity,Evening,SunsetWatcher2,Instagram,#Serenity #SunsetViews,22.0,45.0, Canada     ,2011,7,22,18,Positive
Gratitude for the small joys that each day brings.,Gratitude,Afternoon,JoyfulHeart2,Facebook,#Gratitude #SmallJoys,15.0,30.0, Australia   ,2012,3,30,11,Positive
Hopeful about the potential for personal growth.,Hope,Evening,GrowthOptimist,Twitter,#Hope #PersonalDevelopment,18.0,35.0, UK       ,2013,10,5,16,Positive
Empowerment through learning a new skill.,Empowerment,Afternoon,SkillEmpower,Instagram,#Empowerment #SkillBuilding,25.0,50.0, India   ,2014,7,10,13,Positive
Compassion in volunteering for a local charity.,Compassion,Afternoon,CharityVolunteer,Facebook,#Compassion #VolunteerWork,18.0,35.0, USA      ,2015,12,18,14,Neutral
Tenderness in a quiet moment shared with a pet.,Tenderness,Night,PetLove,Twitter,#Tenderness #PetLove,25.0,50.0, Canada   ,2016,2,10,19,Neutral
Arousal of excitement for an upcoming festival.,Arousal,Afternoon,FestivalFan,Instagram,#Arousal #FestivalExcitement,20.0,40.0, UK ,2017,9,25,11,Neutral
Enthusiasm for a DIY home improvement project.,Enthusiasm,Evening,DIYEnthusiast,Facebook,#Enthusiasm #HomeImprovement,15.0,30.0, Australia   ,2018,4,15,16,Positive
Fulfillment in completing a challenging puzzle.,Fulfillment,Evening,PuzzleMaster,Twitter,#Fulfillment #PuzzleChallenge,22.0,45.0, India    ,2019,11,28,18,Positive
Reverence for the wonders of nature on a hiking trail.,Reverence,Evening,NatureAdmirer,Instagram,#Reverence #NatureExploration,18.0,35.0, USA        ,2020,5,11,15,Neutral
Elation after a surprise reunion with a childhood friend.,Elation,Morning,ChildhoodJoy,Facebook,#Elation #FriendshipReunion,25.0,50.0, Canada      ,2021,2,5,9,Positive
Suffering from despair after another setback.,Despair,Morning,StrugglingSoul,Twitter,#Despair #Struggle,5.0,10.0, USA          ,2021,3,10,8,Negative
"Overwhelmed by grief, missing a loved one dearly.",Grief,Evening,MourningHeart,Instagram,#Grief #Loss,8.0,15.0, Canada          ,2022,7,5,15,Negative
Loneliness creeps in as the night grows colder.,Loneliness,Night,SolitarySoul,Facebook,#Loneliness #Isolation,10.0,20.0, UK           ,2019,11,18,21,Negative
Jealousy consumes me as I witness others' success.,Jealousy,Afternoon,EnviousObserver,Twitter,#Jealousy #Envy,12.0,25.0, India        ,2020,8,12,11,Negative
Resentment building up over past betrayals.,Resentment,Afternoon,BitterHeart,Instagram,#Resentment #Bitterness,7.0,15.0, Australia     ,2018,5,22,14,Negative
Frustration mounts as obstacles block my path.,Frustration,Evening,BlockedGoals,Facebook,#Frustration #Obstacles,10.0,20.0, USA          ,2017,1,30,16,Negative
"Boredom sets in, the day feels endlessly dull.",Boredom,Night,BoredMind,Twitter,#Boredom #LackOfInterest,8.0,15.0, Canada        ,2016,9,28,19,Negative
"Anxiety grips my heart, worry clouds my thoughts.",Anxiety,Morning,WorriedMind,Instagram,#Anxiety #Worry,12.0,25.0, UK           ,2019,4,15,9,Negative
Intimidation by the unknown future ahead.,Intimidation,Evening,FearfulSoul,Facebook,#Intimidation #Fear,15.0,30.0, India        ,2021,12,3,18,Negative
Helplessness sinks in as challenges pile up.,Helplessness,Afternoon,OverwhelmedHeart,Twitter,#Helplessness #Overwhelmed,8.0,15.0, Australia    ,2020,6,20,14,Negative
Envy eats away at me as I see others' prosperity.,Envy,Afternoon,CovetousMind,Instagram,#Envy #Desire,10.0,20.0, Canada        ,2018,11,7,11,Negative
Regret over missed opportunities haunts my thoughts.,Regret,Evening,RemorsefulSoul,Facebook,#Regret #MissedChances,12.0,25.0, UK           ,2017,8,25,16,Negative
Disgust at the sight of injustice and cruelty.,Disgust,Morning,DisgustedHeart,Twitter,#Disgust #Injustice,7.0,15.0, India        ,2019,2,11,9,Negative
"Drowning in despair, hope slipping through my fingers.",Despair,Night,HopelessHeart,Instagram,#Despair #Hopeless,10.0,20.0, USA          ,2016,4,2,20,Negative
